timestamp,datetime,frame_count,object_class,confidence,depth_meters,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
1777272896.386134,2026-04-27 01:54:56,1,Person,0.4861032962799072,2.053356170654297,430,320,446,358,438,339
1777272896.386134,2026-04-27 01:54:56,1,Person,0.40540611743927,2.073385238647461,424,320,447,358,435,339
1777272896.419862,2026-04-27 01:54:56,4,none,0.0,0.0,0,0,0,0,0,0
1777272896.4413528,2026-04-27 01:54:56,7,none,0.0,0.0,0,0,0,0,0,0
1777272896.460201,2026-04-27 01:54:56,10,none,0.0,0.0,0,0,0,0,0,0
1777272896.4796338,2026-04-27 01:54:56,13,none,0.0,0.0,0,0,0,0,0,0
1777272896.502293,2026-04-27 01:54:56,16,none,0.0,0.0,0,0,0,0,0,0
1777272896.523201,2026-04-27 01:54:56,19,none,0.0,0.0,0,0,0,0,0,0
1777272896.545609,2026-04-27 01:54:56,22,none,0.0,0.0,0,0,0,0,0,0
1777272896.570585,2026-04-27 01:54:56,25,none,0.0,0.0,0,0,0,0,0,0
1777272896.5972228,2026-04-27 01:54:56,28,none,0.0,0.0,0,0,0,0,0,0
1777272896.6256058,2026-04-27 01:54:56,31,none,0.0,0.0,0,0,0,0,0,0
1777272896.6524339,2026-04-27 01:54:56,34,none,0.0,0.0,0,0,0,0,0,0
1777272896.678475,2026-04-27 01:54:56,37,none,0.0,0.0,0,0,0,0,0,0
1777272896.7046762,2026-04-27 01:54:56,40,none,0.0,0.0,0,0,0,0,0,0
1777272896.787172,2026-04-27 01:54:56,43,Person,0.5199607610702515,2.655242443084717,288,160,299,181,293,170
1777272897.606622,2026-04-27 01:54:57,46,Person,0.3837323784828186,2.6343698501586914,287,159,298,180,292,169
1777272897.6279979,2026-04-27 01:54:57,49,none,0.0,0.0,0,0,0,0,0,0
1777272897.647125,2026-04-27 01:54:57,52,none,0.0,0.0,0,0,0,0,0,0
1777272897.670104,2026-04-27 01:54:57,55,none,0.0,0.0,0,0,0,0,0,0
1777272897.688195,2026-04-27 01:54:57,58,none,0.0,0.0,0,0,0,0,0,0
1777272897.7078972,2026-04-27 01:54:57,61,none,0.0,0.0,0,0,0,0,0,0
1777272897.731772,2026-04-27 01:54:57,64,none,0.0,0.0,0,0,0,0,0,0
1777272897.752293,2026-04-27 01:54:57,67,none,0.0,0.0,0,0,0,0,0,0
1777272897.774276,2026-04-27 01:54:57,70,none,0.0,0.0,0,0,0,0,0,0
1777272897.803315,2026-04-27 01:54:57,73,Person,0.4077973961830139,1.9427282810211182,545,329,564,359,554,344
1777272897.829563,2026-04-27 01:54:57,76,none,0.0,0.0,0,0,0,0,0,0
1777272897.85731,2026-04-27 01:54:57,79,none,0.0,0.0,0,0,0,0,0,0
1777272897.887949,2026-04-27 01:54:57,82,Person,0.47615718841552734,5.7084245681762695,141,168,150,190,145,179
1777272897.915725,2026-04-27 01:54:57,85,none,0.0,0.0,0,0,0,0,0,0
1777272897.94232,2026-04-27 01:54:57,88,none,0.0,0.0,0,0,0,0,0,0
1777272897.9690251,2026-04-27 01:54:57,91,none,0.0,0.0,0,0,0,0,0,0
1777272897.995842,2026-04-27 01:54:57,94,none,0.0,0.0,0,0,0,0,0,0
1777272898.02356,2026-04-27 01:54:58,97,none,0.0,0.0,0,0,0,0,0,0
1777272898.0511081,2026-04-27 01:54:58,100,none,0.0,0.0,0,0,0,0,0,0
1777272898.079159,2026-04-27 01:54:58,103,none,0.0,0.0,0,0,0,0,0,0
1777272898.10638,2026-04-27 01:54:58,106,none,0.0,0.0,0,0,0,0,0,0
1777272898.133721,2026-04-27 01:54:58,109,none,0.0,0.0,0,0,0,0,0,0
