timestamp,datetime,frame_count,obj1_class,obj2_class,distance_3d_meters,depth_difference,obj1_depth,obj2_depth,obj1_x,obj1_y,obj2_x,obj2_y
1777272896.386134,2026-04-27 01:54:56,1,Person,Person,0.02114420011639595,0.020029067993164062,2.053356170654297,2.073385238647461,438,339,435,339
1777272898.601527,2026-04-27 01:54:58,157,Person,Person,0.05089828372001648,0.04643845558166504,2.344597816467285,2.39103627204895,447,324,448,318
1777272898.912662,2026-04-27 01:54:58,190,Person,Person,0.056555021554231644,0.05150914192199707,1.900632619857788,1.849123477935791,595,327,595,332
1777272898.944502,2026-04-27 01:54:58,193,Vehicle,Vehicle,0.5619493722915649,0.0750114917755127,3.217411518096924,3.142400026321411,462,159,360,199
1777272899.0528152,2026-04-27 01:54:59,202,Machinery,Person,0.8298748135566711,0.23067140579223633,2.3395652770996094,2.108893871307373,360,211,572,332
1777272899.532904,2026-04-27 01:54:59,250,Vehicle,Person,2.832573175430298,1.421133041381836,4.349043369293213,2.927910327911377,476,149,28,217
1777272899.565653,2026-04-27 01:54:59,253,Vehicle,Person,2.7849905490875244,2.0004818439483643,1.872208833694458,3.8726906776428223,463,141,69,199
1777272900.9775932,2026-04-27 01:55:00,397,Vehicle,Person,0.8781002759933472,0.7398455142974854,3.6368629932403564,2.897017478942871,399,186,361,259
1777272901.876262,2026-04-27 01:55:01,493,Vehicle,Vehicle,1.012150526046753,0.9095339775085449,2.4145636558532715,3.3240976333618164,356,154,412,123
1777272905.271004,2026-04-27 01:55:05,862,Person,Person,1.107641339302063,0.528557300567627,2.839822769165039,2.311265468597412,211,262,452,311
1777272905.380109,2026-04-27 01:55:05,871,Person,Person,0.47400903701782227,0.3390944004058838,1.9978398084640503,1.6587454080581665,182,319,26,336
1777272906.737258,2026-04-27 01:55:06,1009,Vehicle,Person,0.7932716608047485,0.5739023685455322,2.866291046142578,2.292388677597046,207,159,165,291
1777272908.3648288,2026-04-27 01:55:08,1183,Vehicle,Person,2.065854787826538,1.9042000770568848,3.748216390609741,1.8440163135528564,464,204,380,319
1777272911.173541,2026-04-27 01:55:11,1492,Machinery,Vehicle,0.45091667771339417,0.3076975345611572,3.209416627883911,2.901719093322754,196,184,254,193
1777272911.589392,2026-04-27 01:55:11,1537,Person,Person,0.0350494422018528,0.03134775161743164,2.830679416656494,2.862027168273926,525,306,524,302
1777272913.709993,2026-04-27 01:55:13,1765,Person,Person,2.6528093814849854,2.377438545227051,2.028867721557617,4.406306266784668,185,330,90,249
1777272915.1180701,2026-04-27 01:55:15,1921,Person,Person,1.5448596477508545,0.16731953620910645,2.601832389831543,2.4345128536224365,170,320,563,344
1777272916.7844338,2026-04-27 01:55:16,2101,Person,Person,0.015991169959306717,0.012880921363830566,1.7729452848434448,1.7600643634796143,209,329,209,333
1777272923.522281,2026-04-27 01:55:23,2833,Vehicle,Person,2.6247334480285645,1.609440803527832,4.15371036529541,2.544269561767578,154,190,539,337
